work_order_number,job_date,status,priority,job_type,scope_of_work,labor_hours,estimated_cost,actual_cost,technician_name,client_name,service_address,business_name,trade,plan_name,invoice_status,total_due,total_paid_to_date,customer_rating
WO-2026-00031,2026-04-07,completed,routine,Fixture installation,"Performed fixture installation — inspected the affected area, completed the work, and tested everything before leaving the site.",1.27,740.64,761.92,Yuki Dubois,Customer 0247,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,paid,826.68,826.68,0
WO-2026-00032,2026-02-17,completed,routine,Pipe replacement,"Customer requested pipe replacement. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.06,249.58,227.14,Tariq Haddad,Customer 0247,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,paid,235.09,235.09,4
WO-2026-00033,2026-08-13,completed,routine,Drain cleaning,"Customer requested drain cleaning. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",1.49,512.77,496.23,Tariq Haddad,Customer 0247,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,paid,538.41,538.41,5
WO-2026-00034,2026-07-19,completed,routine,Drain cleaning,"Scheduled drain cleaning visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.64,852.97,792.41,Marcus Kowalski,Customer 0248,"Denver, CO",Reliable Rooter Plumbing,Plumber,Pro,paid,859.76,859.76,3
WO-2026-00035,2026-07-05,completed,scheduled_maintenance,Leak repair,"Performed leak repair — inspected the affected area, completed the work, and tested everything before leaving the site.",3.23,201.19,201.77,Yuki Dubois,Customer 0248,"Denver, CO",Reliable Rooter Plumbing,Plumber,Pro,paid,218.92,218.92,5
WO-2026-00036,2026-05-04,canceled,scheduled_maintenance,Drain cleaning,"Performed drain cleaning — inspected the affected area, completed the work, and tested everything before leaving the site.",4.27,252.98,0,Marcus Kowalski,Customer 0249,"Sacramento, CA",Reliable Rooter Plumbing,Plumber,Pro,not_invoiced,0,0,0
WO-2026-00037,2026-02-18,completed,scheduled_maintenance,Leak repair,"Performed leak repair — inspected the affected area, completed the work, and tested everything before leaving the site.",1.88,245.36,232.81,Tariq Haddad,Customer 0249,"Sacramento, CA",Reliable Rooter Plumbing,Plumber,Pro,overdue,252.6,0,3
WO-2026-00038,2026-02-07,completed,emergency,Water heater install,"Performed water heater install — inspected the affected area, completed the work, and tested everything before leaving the site.",2.1,368.83,408.21,Yuki Dubois,Customer 0249,"Sacramento, CA",Reliable Rooter Plumbing,Plumber,Pro,paid,442.91,442.91,0
WO-2026-00039,2026-08-11,completed,routine,Drain cleaning,"Performed drain cleaning — inspected the affected area, completed the work, and tested everything before leaving the site.",1.23,136.86,138.15,Marcus Kowalski,Customer 0249,"Sacramento, CA",Reliable Rooter Plumbing,Plumber,Pro,paid,149.89,149.89,5
WO-2026-00040,2026-05-24,completed,scheduled_maintenance,Water heater install,"Water heater install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.07,263.06,269.65,Marcus Kowalski,Customer 0249,"Sacramento, CA",Reliable Rooter Plumbing,Plumber,Pro,paid,292.57,292.57,4
WO-2026-00041,2026-06-22,completed,emergency,Water heater install,"Scheduled water heater install visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",4.76,262.74,260.46,Tariq Haddad,Customer 0250,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,paid,282.6,282.6,0
WO-2026-00042,2026-04-11,canceled,scheduled_maintenance,Drain cleaning,"Performed drain cleaning — inspected the affected area, completed the work, and tested everything before leaving the site.",1.54,888.42,0,Marcus Kowalski,Customer 0250,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,not_invoiced,0,0,0
WO-2026-00043,2026-04-21,completed,scheduled_maintenance,Pipe replacement,"Performed pipe replacement — inspected the affected area, completed the work, and tested everything before leaving the site.",3.5,340.69,346.21,Yuki Dubois,Customer 0250,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,paid,375.64,375.64,4
WO-2026-00044,2026-02-17,completed,scheduled_maintenance,Water heater install,"Water heater install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.94,443.41,488.1,Yuki Dubois,Customer 0250,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,paid,529.59,529.59,0
WO-2026-00045,2026-07-18,completed,scheduled_maintenance,Pipe replacement,"Performed pipe replacement — inspected the affected area, completed the work, and tested everything before leaving the site.",3.14,377.38,413.57,Marcus Kowalski,Customer 0250,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,paid,448.72,448.72,3
WO-2026-00046,2026-08-06,completed,scheduled_maintenance,Fixture installation,"Performed fixture installation — inspected the affected area, completed the work, and tested everything before leaving the site.",2.77,269.8,303.08,Marcus Kowalski,Customer 0251,"Sacramento, CA",Reliable Rooter Plumbing,Plumber,Pro,paid,328.84,328.84,0
WO-2026-00047,2026-08-23,scheduled,scheduled_maintenance,Leak repair,"Leak repair requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",1.4,727.42,0,Yuki Dubois,Customer 0252,"Pittsburgh, PA",Reliable Rooter Plumbing,Plumber,Pro,not_invoiced,0,0,0
WO-2026-00048,2026-05-17,completed,scheduled_maintenance,Pipe replacement,"Customer requested pipe replacement. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",1.17,317.53,356.28,Marcus Kowalski,Customer 0252,"Pittsburgh, PA",Reliable Rooter Plumbing,Plumber,Pro,paid,368.75,368.75,0
WO-2026-00049,2026-07-09,completed,routine,Pipe replacement,"Scheduled pipe replacement visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",2.86,583.12,554.68,Tariq Haddad,Customer 0253,"Columbus, OH",Reliable Rooter Plumbing,Plumber,Pro,overdue,574.1,214.48,4
WO-2026-00050,2026-06-24,completed,routine,Leak repair,"Performed leak repair — inspected the affected area, completed the work, and tested everything before leaving the site.",4.22,357.79,405.91,Marcus Kowalski,Customer 0253,"Columbus, OH",Reliable Rooter Plumbing,Plumber,Pro,paid,440.41,440.41,0
WO-2026-00051,2026-04-04,completed,scheduled_maintenance,Drain cleaning,"Customer requested drain cleaning. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.28,883.53,832.14,Yuki Dubois,Customer 0253,"Columbus, OH",Reliable Rooter Plumbing,Plumber,Pro,paid,902.87,902.87,0
WO-2026-00052,2026-08-29,scheduled,routine,Leak repair,"Customer requested leak repair. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",1.57,558.38,0,Tariq Haddad,Customer 0253,"Columbus, OH",Reliable Rooter Plumbing,Plumber,Pro,not_invoiced,0,0,0
WO-2026-00053,2026-06-18,completed,routine,Leak repair,"Scheduled leak repair visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.92,209.22,213.68,Yuki Dubois,Customer 0254,"Denver, CO",Reliable Rooter Plumbing,Plumber,Pro,overdue,231.84,62.1,5
WO-2026-00054,2026-03-07,completed,routine,Fixture installation,"Scheduled fixture installation visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.53,445.41,423.06,Yuki Dubois,Customer 0254,"Denver, CO",Reliable Rooter Plumbing,Plumber,Pro,overdue,459.02,0,0
WO-2026-00055,2026-03-02,completed,routine,Drain cleaning,"Drain cleaning requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.34,233.99,250.35,Yuki Dubois,Customer 0254,"Denver, CO",Reliable Rooter Plumbing,Plumber,Pro,paid,271.63,271.63,4
WO-2026-00056,2026-03-13,completed,scheduled_maintenance,Drain cleaning,"Customer requested drain cleaning. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.18,705.93,786.17,Tariq Haddad,Customer 0255,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,852.99,852.99,3
WO-2026-00057,2026-06-21,completed,routine,Water heater install,"Scheduled water heater install visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",4.5,454.95,496.34,Yuki Dubois,Customer 0255,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,538.53,538.53,3
WO-2026-00058,2026-07-01,completed,routine,Drain cleaning,"Performed drain cleaning — inspected the affected area, completed the work, and tested everything before leaving the site.",1.07,854.37,836.92,Yuki Dubois,Customer 0255,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,908.06,908.06,3
WO-2026-00059,2026-04-09,completed,routine,Leak repair,"Scheduled leak repair visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.39,410.47,464.61,Tariq Haddad,Customer 0255,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,504.1,504.1,4
WO-2026-00060,2026-07-04,completed,routine,Fixture installation,"Performed fixture installation — inspected the affected area, completed the work, and tested everything before leaving the site.",4.35,756.2,823.72,Yuki Dubois,Customer 0255,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,893.74,893.74,3
WO-2026-00061,2026-03-12,completed,routine,Fixture installation,"Customer requested fixture installation. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",1.41,664.07,648.98,Tariq Haddad,Customer 0255,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,704.14,704.14,3
WO-2026-00062,2026-07-26,completed,scheduled_maintenance,Water heater install,"Scheduled water heater install visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",3.66,258.81,261.24,Marcus Kowalski,Customer 0256,"Pittsburgh, PA",Reliable Rooter Plumbing,Plumber,Pro,paid,283.45,283.45,4
WO-2026-00063,2026-04-06,completed,scheduled_maintenance,Drain cleaning,"Drain cleaning requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",1.68,191.38,175.32,Tariq Haddad,Customer 0256,"Pittsburgh, PA",Reliable Rooter Plumbing,Plumber,Pro,paid,181.45,181.45,5
WO-2026-00064,2026-03-14,completed,routine,Drain cleaning,"Customer requested drain cleaning. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.79,349,374.94,Marcus Kowalski,Customer 0256,"Pittsburgh, PA",Reliable Rooter Plumbing,Plumber,Pro,paid,406.81,406.81,4
WO-2026-00065,2026-02-13,completed,scheduled_maintenance,Fixture installation,"Performed fixture installation — inspected the affected area, completed the work, and tested everything before leaving the site.",4.47,873.09,914.32,Marcus Kowalski,Customer 0257,"Raleigh, NC",Reliable Rooter Plumbing,Plumber,Pro,paid,992.04,992.04,0
WO-2026-00066,2026-04-23,completed,emergency,Pipe replacement,"Scheduled pipe replacement visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.16,885.97,841.75,Tariq Haddad,Customer 0257,"Raleigh, NC",Reliable Rooter Plumbing,Plumber,Pro,paid,871.21,871.21,3
WO-2026-00067,2026-06-18,completed,scheduled_maintenance,Drain cleaning,"Drain cleaning requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.04,830.92,859.84,Marcus Kowalski,Customer 0257,"Raleigh, NC",Reliable Rooter Plumbing,Plumber,Pro,paid,932.93,932.93,4
WO-2026-00068,2026-06-11,completed,emergency,Leak repair,"Scheduled leak repair visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.2,541.17,604.63,Marcus Kowalski,Customer 0257,"Raleigh, NC",Reliable Rooter Plumbing,Plumber,Pro,paid,656.02,656.02,5
WO-2026-00069,2026-05-12,completed,scheduled_maintenance,Pipe replacement,"Customer requested pipe replacement. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.96,639.88,624.59,Yuki Dubois,Customer 0257,"Raleigh, NC",Reliable Rooter Plumbing,Plumber,Pro,paid,677.68,677.68,0
WO-2026-00070,2026-07-27,completed,emergency,Drain cleaning,"Scheduled drain cleaning visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",4.42,251.3,263.05,Yuki Dubois,Customer 0257,"Raleigh, NC",Reliable Rooter Plumbing,Plumber,Pro,paid,272.26,272.26,5
WO-2026-00071,2026-09-03,scheduled,routine,Fixture installation,"Fixture installation requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.29,810.25,0,Yuki Dubois,Customer 0258,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,not_invoiced,0,0,0
WO-2026-00072,2026-03-18,completed,routine,Pipe replacement,"Scheduled pipe replacement visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.89,519.18,556.04,Marcus Kowalski,Customer 0258,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,603.3,603.3,5
WO-2026-00073,2026-08-25,scheduled,routine,Water heater install,"Water heater install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.34,617.55,0,Yuki Dubois,Customer 0258,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,not_invoiced,0,0,0
WO-2026-00074,2026-06-21,completed,scheduled_maintenance,Deep clean,"Customer requested deep clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.55,181.97,165.47,Grace Murphy,Customer 0259,"Denver, CO",Spotless Sweep Cleaning Co.,Cleaner,Pro,overdue,179.53,88.25,4
WO-2026-00075,2026-03-22,completed,routine,Move-out clean,"Customer requested move-out clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",1.8,129.72,118.34,Grace Murphy,Customer 0259,"Denver, CO",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,128.4,128.4,0
WO-2026-00076,2026-04-15,completed,scheduled_maintenance,Move-out clean,"Customer requested move-out clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.87,89.46,90.38,Liam Ferreira,Customer 0259,"Denver, CO",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,98.06,98.06,4
WO-2026-00077,2026-06-19,completed,routine,Standard clean,"Customer requested standard clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.35,138.63,138.07,Omar Kowalski,Customer 0259,"Denver, CO",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,149.81,149.81,3
WO-2026-00078,2026-08-09,completed,routine,Standard clean,"Scheduled standard clean visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",2.41,284.63,324.84,Omar Kowalski,Customer 0259,"Denver, CO",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,352.45,352.45,0
WO-2026-00079,2026-04-25,completed,routine,Standard clean,"Customer requested standard clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.44,108.26,114.52,Grace Murphy,Customer 0260,"Seattle, WA",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,124.25,124.25,0
WO-2026-00080,2026-03-20,canceled,scheduled_maintenance,Move-out clean,"Scheduled move-out clean visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",3.01,158.34,0,Grace Murphy,Customer 0261,"Minneapolis, MN",Spotless Sweep Cleaning Co.,Cleaner,Pro,not_invoiced,0,0,0
WO-2026-00081,2026-05-03,completed,scheduled_maintenance,Move-out clean,"Customer requested move-out clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.36,204.18,192.94,Grace Murphy,Customer 0261,"Minneapolis, MN",Spotless Sweep Cleaning Co.,Cleaner,Pro,overdue,209.34,0,4
WO-2026-00082,2026-07-28,canceled,routine,Move-out clean,"Move-out clean requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.75,120.41,0,Lena Haddad,Customer 0261,"Minneapolis, MN",Spotless Sweep Cleaning Co.,Cleaner,Pro,not_invoiced,0,0,0
WO-2026-00083,2026-06-13,completed,scheduled_maintenance,Post-construction clean,"Post-construction clean requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",3.52,83.66,81.25,Omar Kowalski,Customer 0261,"Minneapolis, MN",Spotless Sweep Cleaning Co.,Cleaner,Pro,overdue,88.16,0,3
WO-2026-00084,2026-06-13,completed,emergency,Standard clean,"Scheduled standard clean visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.54,158.17,145.93,Grace Murphy,Customer 0261,"Minneapolis, MN",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,158.33,158.33,0
WO-2026-00085,2026-03-23,completed,routine,Post-construction clean,"Performed post-construction clean — inspected the affected area, completed the work, and tested everything before leaving the site.",4.77,215.09,206.14,Grace Murphy,Customer 0261,"Minneapolis, MN",Spotless Sweep Cleaning Co.,Cleaner,Pro,overdue,223.66,106.22,0
WO-2026-00086,2026-02-15,completed,scheduled_maintenance,Standard clean,"Customer requested standard clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.57,180.07,170.12,Omar Kowalski,Customer 0262,"Sacramento, CA",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,184.58,184.58,0
WO-2026-00087,2026-04-30,completed,scheduled_maintenance,Deep clean,"Customer requested deep clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.63,136.4,125.72,Grace Murphy,Customer 0262,"Sacramento, CA",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,136.41,136.41,0
WO-2026-00088,2026-08-13,completed,emergency,Deep clean,"Scheduled deep clean visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.86,191.46,183.72,Lena Haddad,Customer 0262,"Sacramento, CA",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,190.15,190.15,5
WO-2026-00089,2026-08-31,scheduled,scheduled_maintenance,Standard clean,"Standard clean requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.71,95.66,0,Liam Ferreira,Customer 0263,"Raleigh, NC",Spotless Sweep Cleaning Co.,Cleaner,Pro,not_invoiced,0,0,0
WO-2026-00090,2026-04-05,completed,scheduled_maintenance,Post-construction clean,"Customer requested post-construction clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.99,284.16,261.91,Grace Murphy,Customer 0264,"Phoenix, AZ",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,271.07,271.07,5
WO-2026-00091,2026-04-10,completed,scheduled_maintenance,Deep clean,"Performed deep clean — inspected the affected area, completed the work, and tested everything before leaving the site.",2.37,135.25,151.25,Grace Murphy,Customer 0264,"Phoenix, AZ",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,164.11,164.11,5
WO-2026-00092,2026-02-05,completed,routine,Post-construction clean,"Scheduled post-construction clean visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",3.08,117.19,126.37,Lena Haddad,Customer 0264,"Phoenix, AZ",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,130.79,130.79,0
WO-2026-00093,2026-03-02,completed,scheduled_maintenance,Standard clean,"Customer requested standard clean. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.65,171.25,194.04,Omar Kowalski,Customer 0264,"Phoenix, AZ",Spotless Sweep Cleaning Co.,Cleaner,Pro,paid,210.53,210.53,4
